Name complex,Geo,State of house,Rooms amount,"Squares,м²",Metro,"Time to metro,мин.","Price,₽",Data
ЖК «Полет»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Полет жилой комплекс",Новостройка,1-комн. квартира,"45,61 ",Шушары,12 ,4 824 050 ,02.10
ЖК «Апарт-отель Начало»,"Санкт-Петербург, р-н Невский, Ивановский, Варфоломеевская ул., 6",Новостройка Апартаменты,Апартаменты-студия,"24,4 ",Ломоносовская,2 ,4 807 044 ,27.09
ЖК «Апарт-отель Kirovsky AVENIR (Кировский Авенир)»,"Санкт-Петербург, р-н Кировский, Автово, дор. На Турухтанные острова, 5к2",Новостройка Апартаменты,Апартаменты-студия,"25,77 ",Автово,12 ,4 887 744 ,15.10
ЖК «Апарт-отель Kirovsky AVENIR (Кировский Авенир)»,"Санкт-Петербург, р-н Кировский, Автово, дор. На Турухтанные острова, 5к2",Новостройка Апартаменты,Апартаменты-студия,"24,15 ",Автово,12 ,4 877 817 ,15.10
ЖК «Новое Колпино»,"Санкт-Петербург, р-н Колпинский, мкр. Колпино, Новое Колпино жилой комплекс, к38",Новостройка,1-комн. квартира,"32,46 ",Рыбацкое,22 ,4 863 077 ,15.10
ЖК «Новое Колпино»,"Санкт-Петербург, р-н Колпинский, мкр. Колпино, Новое Колпино жилой комплекс, к39",Новостройка,1-комн. квартира,"32,64 ",Рыбацкое,19 ,4 857 787 ,15.10
ЖК «Курортный Квартал»,"Санкт-Петербург, р-н Курортный, мкр. Песочный, Курортный квартал жилой комплекс",Новостройка,Студия,"24,9 ",Парнас,22 ,4 850 983 ,15.10
ЖК «Апарт-отель Kirovsky AVENIR (Кировский Авенир)»,"Санкт-Петербург, р-н Кировский, Автово, дор. На Турухтанные острова, 5к2",Новостройка Апартаменты,Апартаменты-студия,"25,77 ",Автово,12 ,4 887 744 ,15.10
ЖК «Апарт-отель Kirovsky AVENIR (Кировский Авенир)»,"Санкт-Петербург, р-н Кировский, Автово, дор. На Турухтанные острова, 5к2",Новостройка Апартаменты,Апартаменты-студия,"24,15 ",Автово,12 ,4 877 817 ,15.10
ЖК «Новое Колпино»,"Санкт-Петербург, р-н Колпинский, мкр. Колпино, Новое Колпино жилой комплекс, к38",Новостройка,1-комн. квартира,"32,46 ",Рыбацкое,22 ,4 863 077 ,15.10
